  3.3332222e-005  3.3332222e-001  3.3332222e-001  3.3332222e-001
  3.3332222e-001  3.3332222e-005  3.3332222e-001  3.3332222e-001
  3.3332222e-001  3.3332222e-001  3.3332222e-005  3.3332222e-001
  3.3332222e-001  3.3332222e-001  3.3332222e-001  3.3332222e-005
  4.9974700e-001  4.9974700e-001  4.4977231e-004  5.6221538e-005
  4.9985540e-001  4.9985540e-001  2.2493493e-004  6.4267123e-005
  4.9988753e-001  4.9988753e-001  1.4996626e-004  7.4983128e-005
  4.9989877e-001  4.9989877e-001  1.1247722e-004  8.9981778e-005
  4.9989877e-001  4.9989877e-001  8.9981778e-005  1.1247722e-004
  4.9988753e-001  4.9988753e-001  7.4983128e-005  1.4996626e-004
  4.9985540e-001  4.9985540e-001  6.4267123e-005  2.2493493e-004
  4.9974700e-001  4.9974700e-001  5.6221538e-005  4.4977231e-004
  4.9974700e-001  4.4977231e-004  4.9974700e-001  5.6221538e-005
  9.9807514e-001  8.9826764e-004  8.9826764e-004  1.2832395e-004
  9.9850225e-001  8.9865203e-004  4.4932602e-004  1.4977534e-004
  9.9862190e-001  8.9875972e-004  2.9958657e-004  1.7975194e-004
  9.9865182e-001  8.9878665e-004  2.2469666e-004  2.2469666e-004
  9.9862190e-001  8.9875972e-004  1.7975194e-004  2.9958657e-004
  9.9850225e-001  8.9865203e-004  1.4977534e-004  4.4932602e-004
  9.9807514e-001  8.9826764e-004  1.2832395e-004  8.9826764e-004
  4.9974700e-001  4.4977231e-004  5.6221538e-005  4.9974700e-001
  4.9985540e-001  2.2493493e-004  4.9985540e-001  6.4267123e-005
  9.9850225e-001  4.4932602e-004  8.9865203e-004  1.4977534e-004
  9.9892117e-001  4.4951453e-004  4.4951453e-004  1.7980581e-004
  9.9902595e-001  4.4956168e-004  2.9970779e-004  2.2478084e-004
  9.9902595e-001  4.4956168e-004  2.2478084e-004  2.9970779e-004
  9.9892117e-001  4.4951453e-004  1.7980581e-004  4.4951453e-004
  9.9850225e-001  4.4932602e-004  1.4977534e-004  8.9865203e-004
  4.9985540e-001  2.2493493e-004  6.4267123e-005  4.9985540e-001
  4.9988753e-001  1.4996626e-004  4.9988753e-001  7.4983128e-005
  9.9862190e-001  2.9958657e-004  8.9875972e-004  1.7975194e-004
  9.9902595e-001  2.9970779e-004  4.4956168e-004  2.2478084e-004
  9.9910081e-001  2.9973025e-004  2.9973025e-004  2.9973025e-004
  9.9902595e-001  2.9970779e-004  2.2478084e-004  4.4956168e-004
  9.9862190e-001  2.9958657e-004  1.7975194e-004  8.9875972e-004
  4.9988753e-001  1.4996626e-004  7.4983128e-005  4.9988753e-001
  4.9989877e-001  1.1247722e-004  4.9989877e-001  8.9981778e-005
  9.9865182e-001  2.2469666e-004  8.9878665e-004  2.2469666e-004
  9.9902595e-001  2.2478084e-004  4.4956168e-004  2.9970779e-004
  9.9902595e-001  2.2478084e-004  2.9970779e-004  4.4956168e-004
  9.9865182e-001  2.2469666e-004  2.2469666e-004  8.9878665e-004
  4.9989877e-001  1.1247722e-004  8.9981778e-005  4.9989877e-001
  4.9989877e-001  8.9981778e-005  4.9989877e-001  1.1247722e-004
  9.9862190e-001  1.7975194e-004  8.9875972e-004  2.9958657e-004
  9.9892117e-001  1.7980581e-004  4.4951453e-004  4.4951453e-004
  9.9862190e-001  1.7975194e-004  2.9958657e-004  8.9875972e-004
  4.9989877e-001  8.9981778e-005  1.1247722e-004  4.9989877e-001
  4.9988753e-001  7.4983128e-005  4.9988753e-001  1.4996626e-004
  9.9850225e-001  1.4977534e-004  8.9865203e-004  4.4932602e-004
  9.9850225e-001  1.4977534e-004  4.4932602e-004  8.9865203e-004
  4.9988753e-001  7.4983128e-005  1.4996626e-004  4.9988753e-001
  4.9985540e-001  6.4267123e-005  4.9985540e-001  2.2493493e-004
  9.9807514e-001  1.2832395e-004  8.9826764e-004  8.9826764e-004
  4.9985540e-001  6.4267123e-005  2.2493493e-004  4.9985540e-001
  4.9974700e-001  5.6221538e-005  4.9974700e-001  4.4977231e-004
  4.9974700e-001  5.6221538e-005  4.4977231e-004  4.9974700e-001
  4.4977231e-004  4.9974700e-001  4.9974700e-001  5.6221538e-005
  8.9826764e-004  9.9807514e-001  8.9826764e-004  1.2832395e-004
  8.9865203e-004  9.9850225e-001  4.4932602e-004  1.4977534e-004
