291	604.36
291.1	607.36
291.2	610.38
291.3	613.42
291.4	616.46
291.5	619.52
291.6	622.59
291.7	625.67
291.8	628.77
291.9	631.88
292	635
292.1	638.1
292.2	641.2
292.3	644.32
292.4	647.44
292.5	650.56
292.6	653.7
292.7	656.84
292.8	659.99
292.9	663.14
293	666.3
293.1	669.47
293.2	672.64
293.3	675.83
293.4	679.02
293.5	682.21
293.6	685.42
293.7	688.63
293.8	691.85
293.9	695.07
294	698.3
294.1	701.54
294.2	704.78
294.3	708.04
294.4	711.3
294.5	714.56
294.6	717.84
294.7	721.12
294.8	724.41
294.9	727.7
295	731
295.1	734.26
295.2	737.53
295.3	740.81
295.4	744.1
295.5	747.4
295.6	750.71
295.7	754.03
295.8	757.35
295.9	760.69
296	764.03
296.1	767.39
296.2	770.75
296.3	774.13
296.4	777.51
296.5	780.9
296.6	784.3
296.7	787.71
296.8	791.13
296.9	794.56
297	798
297.1	801.51
297.2	805.03
297.3	808.56
297.4	812.1
297.5	815.65
297.6	819.21
297.7	822.78
297.8	826.37
297.9	829.96
298	833.57
298.1	837.18
298.2	840.81
298.3	844.45
298.4	848.4
298.5	851.76
298.6	855.44
298.7	859.12
298.8	862.81
298.9	866.52
299	870.23
299.1	873.96
299.2	877.7
299.3	881.45
299.4	885.21
299.5	888.98
299.6	892.76
299.7	896.56
299.8	900.36
299.9	904.18
300	908
300.1	911.76
300.2	915.6
300.3	919.41
300.4	923.24
300.5	927.08
300.6	930.93
300.7	934.79
300.8	938.66
300.9	942.54
301	946.43
301.1	950.34
301.2	954.26
301.3	958.19
301.4	962.12
301.5	966.08
301.6	970.04
301.7	974.01
301.8	978
301.9	981.99
302	986
302.1	990.1
302.2	994.22
302.3	998.34
302.4	1002.47
302.5	1006.61
302.6	1010.75
302.7	1014.91
302.8	1019.08
302.9	1023.25
303	1027.43
303.1	1031.63
303.2	1035.83
303.3	1040.04
303.4	1044.26
303.5	1048.49
303.6	1052.73
303.7	1056.97
303.8	1061.23
303.9	1065.5
304	1069.77
304.1	1074.05
